age	workclass	fnlwgt	education	education-num	marital-status	occupation	relationship	race	sex	capital-gain	capital-loss	hours-per-week	native-country	target
42.0	4	308770.0	15	10.0	2	1	0	2	1	0.0	0.0	40.0	39	0
23.0	4	520231.0	15	10.0	4	10	1	4	0	0.0	0.0	45.0	39	1
27.0	4	164924.0	11	9.0	4	3	1	4	1	0.0	0.0	40.0	39	1
29.0	6	198286.0	9	13.0	4	10	1	4	0	0.0	0.0	40.0	39	1
32.0	4	197505.0	11	9.0	4	1	3	4	0	0.0	0.0	40.0	39	1
39.0	6	343476.0	9	13.0	2	10	0	4	1	15024.0	0.0	50.0	24	0
27.0	4	329426.0	9	13.0	4	4	1	4	1	0.0	0.0	45.0	39	1
50.0	2	218382.0	15	10.0	0	8	4	2	0	0.0	0.0	40.0	39	1
47.0	2	173938.0	9	13.0	2	3	0	4	1	0.0	0.0	50.0	39	0
59.0	4	244554.0	1	7.0	0	8	1	2	0	0.0	0.0	35.0	39	1
50.0	1	69614.0	0	6.0	5	3	1	4	1	0.0	0.0	56.0	39	1
40.0	4	126701.0	8	11.0	0	12	1	4	1	13550.0	0.0	50.0	39	0
47.0	4	195688.0	11	9.0	2	1	5	4	0	0.0	0.0	40.0	39	1
18.0	4	473449.0	15	10.0	4	6	3	4	1	0.0	0.0	30.0	39	1
25.0	4	352057.0	11	9.0	4	14	1	4	1	0.0	0.0	65.0	39	1
35.0	4	90406.0	1	7.0	2	12	5	4	0	0.0	0.0	40.0	39	1
60.0	4	178249.0	15	10.0	2	1	0	4	1	0.0	1887.0	40.0	39	0
62.0	6	71467.0	9	13.0	2	3	0	4	1	0.0	0.0	55.0	39	0
44.0	4	225263.0	15	10.0	0	12	4	4	0	0.0	1408.0	46.0	39	1
19.0	4	235732.0	1	7.0	4	1	4	4	0	0.0	0.0	15.0	39	1
23.0	0	302836.0	7	12.0	2	0	0	4	1	0.0	0.0	40.0	8	1
29.0	4	200515.0	15	10.0	2	7	0	4	1	0.0	0.0	38.0	39	1
25.0	4	96268.0	1	7.0	0	4	4	4	0	0.0	0.0	40.0	39	1
28.0	4	162404.0	9	13.0	4	3	1	2	1	0.0	0.0	60.0	39	1
50.0	4	109277.0	6	5.0	2	7	0	4	1	0.0	0.0	48.0	39	1
21.0	4	203914.0	15	10.0	4	8	3	4	0	0.0	0.0	10.0	39	1
27.0	2	221317.0	1	7.0	2	3	0	4	1	0.0	0.0	40.0	26	1
58.0	4	106740.0	11	9.0	2	3	0	4	1	0.0	0.0	40.0	39	0
45.0	4	98765.0	11	9.0	4	7	4	4	0	0.0	0.0	40.0	2	1
42.0	4	136986.0	11	9.0	2	4	0	4	1	0.0	0.0	35.0	39	0
19.0	4	250249.0	15	10.0	4	1	3	4	0	0.0	0.0	10.0	39	1
53.0	4	194501.0	1	7.0	6	8	3	4	0	0.0	0.0	47.0	39	1
23.0	4	50341.0	12	14.0	4	12	1	4	0	0.0	0.0	20.0	39	1
20.0	0	224238.0	15	10.0	4	0	3	4	1	0.0	0.0	6.0	39	1
46.0	4	328216.0	9	13.0	2	4	0	4	1	15024.0	0.0	40.0	39	0
44.0	4	144067.0	9	13.0	0	1	1	4	1	0.0	0.0	12.0	0	1
43.0	1	144778.0	9	13.0	4	4	1	4	1	0.0	0.0	40.0	39	0
26.0	4	147982.0	1	7.0	0	3	1	4	0	0.0	0.0	40.0	39	1
56.0	4	53481.0	11	9.0	2	7	0	4	1	0.0	0.0	40.0	39	1
49.0	2	37353.0	12	14.0	2	4	0	4	1	0.0	0.0	40.0	39	0
31.0	4	201292.0	11	9.0	2	8	0	4	1	0.0	0.0	40.0	39	1
27.0	4	126349.0	15	10.0	4	12	1	4	1	0.0	0.0	49.0	39	1
30.0	4	504725.0	0	6.0	4	12	2	4	1	0.0	0.0	18.0	13	1
20.0	4	323573.0	11	9.0	4	8	3	4	0	0.0	0.0	20.0	39	1
37.0	7	136137.0	15	10.0	5	1	1	4	1	0.0	0.0	40.0	39	1
40.0	6	162312.0	11	9.0	2	3	0	1	1	0.0	0.0	66.0	35	1
25.0	4	306908.0	9	13.0	2	10	0	4	1	0.0	0.0	50.0	39	1
24.0	4	64167.0	8	11.0	4	13	4	2	0	0.0	0.0	40.0	39	1
41.0	4	106068.0	11	9.0	0	12	4	4	0	0.0	0.0	40.0	39	1
38.0	4	204501.0	9	13.0	2	4	0	4	1	0.0	0.0	55.0	39	0
27.0	4	29523.0	0	6.0	2	6	0	4	1	0.0	0.0	40.0	39	1
18.0	4	56613.0	15	10.0	4	7	3	4	0	0.0	0.0	20.0	39	1
33.0	4	554986.0	15	10.0	5	4	4	4	0	0.0	0.0	40.0	39	1
20.0	4	309580.0	11	9.0	4	1	3	4	1	0.0	0.0	40.0	39	1
20.0	4	250165.0	11	9.0	2	12	0	4	1	0.0	0.0	40.0	39	1
46.0	4	30840.0	9	13.0	2	4	0	4	1	0.0	0.0	50.0	39	0
35.0	4	186886.0	11	9.0	0	4	4	4	0	0.0	0.0	55.0	39	1
46.0	4	216292.0	11	9.0	2	12	0	4	1	0.0	0.0	45.0	39	1
36.0	2	241962.0	9	13.0	2	1	0	4	1	0.0	0.0	40.0	39	1
22.0	4	113062.0	9	13.0	4	4	3	4	0	0.0	0.0	7.0	39	1
28.0	6	192838.0	8	11.0	2	3	0	4	1	0.0	0.0	45.0	39	1
38.0	4	391040.0	8	11.0	5	13	4	4	0	0.0	0.0	20.0	39	1
36.0	4	182074.0	11	9.0	4	6	3	4	1	0.0	0.0	40.0	39	1
31.0	4	120461.0	15	10.0	4	4	1	4	0	0.0	0.0	50.0	39	1
28.0	4	37359.0	8	11.0	2	10	0	4	1	99999.0	0.0	50.0	39	0
37.0	6	289430.0	0	6.0	2	3	0	4	1	0.0	0.0	40.0	26	1
53.0	4	196278.0	15	10.0	6	12	1	4	0	0.0	0.0	40.0	39	1
28.0	4	188064.0	11	9.0	2	3	0	4	1	0.0	0.0	35.0	2	1
35.0	2	126569.0	11	9.0	2	3	0	4	1	0.0	0.0	40.0	39	1
51.0	4	25031.0	15	10.0	2	4	5	4	0	0.0	0.0	10.0	39	0
46.0	4	279661.0	12	14.0	2	10	0	2	1	0.0	0.0	35.0	39	1
19.0	0	194404.0	15	10.0	4	0	3	4	0	0.0	0.0	32.0	39	1
44.0	4	328561.0	8	11.0	2	1	2	4	0	0.0	0.0	20.0	39	1
34.0	4	441454.0	11	9.0	4	12	1	4	0	0.0	0.0	24.0	39	1
44.0	4	377018.0	8	11.0	2	3	0	4	1	0.0	0.0	40.0	39	0
42.0	4	403187.0	11	9.0	0	6	4	2	0	0.0	0.0	40.0	39	1
66.0	5	74263.0	11	9.0	6	4	1	4	1	0.0	0.0	86.0	39	0
35.0	4	215503.0	9	13.0	4	10	3	4	1	0.0	0.0	40.0	2	1
31.0	4	168854.0	15	10.0	4	12	1	4	1	0.0	1504.0	40.0	39	1
33.0	4	106976.0	11	9.0	0	8	4	4	0	0.0	0.0	40.0	39	1
18.0	0	197057.0	0	6.0	4	0	3	2	1	0.0	0.0	40.0	39	1
51.0	6	268639.0	15	10.0	2	10	5	4	0	0.0	2057.0	60.0	2	1
55.0	5	264453.0	8	11.0	0	4	4	4	1	0.0	0.0	30.0	39	1
30.0	4	176871.0	15	10.0	5	1	4	2	0	0.0	0.0	40.0	39	1
20.0	4	148509.0	11	9.0	4	8	1	4	0	0.0	0.0	40.0	39	1
41.0	4	428499.0	1	7.0	2	3	0	4	1	0.0	1485.0	50.0	39	0
55.0	2	159028.0	11	9.0	2	14	0	4	1	0.0	0.0	40.0	39	1
27.0	4	114967.0	9	13.0	4	12	3	4	1	0.0	0.0	40.0	39	1
33.0	2	318921.0	11	9.0	0	14	1	4	0	0.0	0.0	35.0	39	1
36.0	4	77820.0	15	10.0	2	3	0	4	1	0.0	0.0	40.0	39	0
34.0	4	284629.0	11	9.0	2	7	0	4	1	0.0	0.0	40.0	39	1
42.0	4	97688.0	11	9.0	0	12	1	4	1	0.0	0.0	47.0	39	1
31.0	4	199655.0	12	14.0	0	8	1	3	0	0.0	0.0	30.0	39	1
24.0	4	161415.0	1	7.0	4	8	2	4	1	0.0	0.0	35.0	39	1
40.0	4	352971.0	12	14.0	2	4	0	4	1	0.0	0.0	60.0	39	0
42.0	4	274913.0	11	9.0	0	3	4	4	1	0.0	0.0	45.0	39	1
31.0	4	156493.0	11	9.0	4	10	3	4	1	0.0	0.0	40.0	39	1
37.0	4	224566.0	11	9.0	4	3	4	4	1	0.0	0.0	40.0	39	1
29.0	6	103432.0	11	9.0	4	3	1	4	1	0.0	0.0	50.0	39	1
49.0	6	182752.0	10	16.0	2	10	5	4	0	0.0	0.0	35.0	39	0
50.0	4	341797.0	11	9.0	0	3	1	4	1	0.0	0.0	40.0	39	1
30.0	2	325385.0	12	14.0	4	10	1	4	1	0.0	0.0	50.0	39	1
36.0	4	140327.0	11	9.0	2	12	5	4	0	7298.0	0.0	35.0	39	0
36.0	4	129573.0	7	12.0	2	12	0	4	1	0.0	0.0	60.0	39	0
32.0	4	199416.0	9	13.0	2	10	0	4	1	0.0	0.0	40.0	39	1
31.0	2	128016.0	9	13.0	4	12	3	4	0	0.0	0.0	40.0	39	1
36.0	4	162358.0	12	14.0	4	10	1	4	0	0.0	1408.0	40.0	39	1
50.0	6	186565.0	9	13.0	2	12	0	4	1	0.0	0.0	50.0	39	1
32.0	4	79586.0	9	13.0	2	10	0	1	1	0.0	0.0	40.0	19	1
62.0	0	232719.0	12	14.0	2	0	0	4	1	0.0	0.0	50.0	39	1
72.0	4	192732.0	11	9.0	2	6	0	4	1	0.0	0.0	20.0	39	1
22.0	4	219042.0	0	6.0	4	7	4	4	1	0.0	0.0	40.0	39	1
18.0	4	118983.0	11	9.0	4	4	3	4	1	0.0	0.0	30.0	39	1
40.0	1	112388.0	12	14.0	4	10	1	4	1	0.0	0.0	40.0	39	1
59.0	4	138370.0	0	6.0	3	11	1	1	1	0.0	0.0	40.0	19	1
34.0	4	189809.0	15	10.0	2	4	0	2	1	0.0	0.0	52.0	23	1
56.0	5	42298.0	6	5.0	2	4	0	2	1	0.0	0.0	40.0	39	1
38.0	4	169872.0	11	9.0	5	1	4	4	0	3887.0	0.0	45.0	39	1
77.0	4	271000.0	11	9.0	6	4	1	4	0	0.0	0.0	40.0	39	0
47.0	4	503454.0	2	8.0	4	1	2	2	0	0.0	0.0	40.0	39	1
38.0	4	180477.0	0	6.0	4	8	1	4	1	0.0	0.0	40.0	39	1
57.0	4	250201.0	1	7.0	2	8	0	4	1	0.0	0.0	52.0	39	1
62.0	0	144116.0	0	6.0	2	0	0	4	1	0.0	0.0	40.0	39	1
53.0	4	214868.0	8	11.0	4	1	2	2	0	0.0	2001.0	40.0	39	1
50.0	6	95577.0	11	9.0	2	8	5	4	0	0.0	0.0	12.0	0	1
44.0	4	101563.0	12	14.0	0	4	4	4	1	7430.0	0.0	45.0	39	0
55.0	4	101468.0	11	9.0	2	3	0	4	1	3103.0	0.0	40.0	39	0
50.0	6	90525.0	11	9.0	2	8	5	4	0	15024.0	0.0	20.0	39	0
51.0	4	114520.0	11	9.0	0	12	4	4	1	0.0	0.0	16.0	39	1
90.0	4	115306.0	12	14.0	4	4	3	4	0	0.0	0.0	40.0	39	1
42.0	4	197522.0	15	10.0	5	7	4	2	0	0.0	0.0	40.0	39	1
65.0	4	282779.0	12	14.0	2	1	2	4	0	0.0	0.0	40.0	39	0
55.0	0	376058.0	6	5.0	4	0	3	4	0	0.0	0.0	45.0	39	1
31.0	4	212235.0	15	10.0	4	12	1	4	1	0.0	0.0	45.0	39	1
36.0	4	181705.0	1	7.0	2	14	0	4	1	0.0	0.0	40.0	39	1
58.0	4	192806.0	5	4.0	4	6	1	4	0	0.0	0.0	33.0	39	1
54.0	4	108960.0	1	7.0	2	7	0	4	1	0.0	0.0	40.0	39	1
23.0	4	265077.0	9	13.0	4	1	3	4	0	1055.0	0.0	10.0	39	1
21.0	4	206492.0	11	9.0	4	12	3	4	0	0.0	0.0	40.0	0	1
41.0	2	139160.0	9	13.0	0	10	1	2	1	0.0	0.0	40.0	39	1
53.0	4	283320.0	9	13.0	0	13	1	4	0	0.0	0.0	40.0	39	1
24.0	4	281356.0	3	2.0	4	5	1	3	1	0.0	0.0	66.0	26	1
40.0	4	187702.0	9	13.0	4	13	1	4	1	0.0	0.0	40.0	39	1
37.0	1	45937.0	9	13.0	2	10	5	4	0	0.0	0.0	48.0	39	0
22.0	4	212261.0	15	10.0	4	14	3	2	1	0.0	0.0	39.0	39	1
64.0	4	181530.0	14	15.0	2	10	0	4	1	0.0	0.0	40.0	39	0
42.0	6	222978.0	10	16.0	4	10	1	4	0	0.0	0.0	45.0	39	1
45.0	4	243743.0	15	10.0	2	12	0	4	1	0.0	0.0	50.0	39	0
30.0	2	102130.0	15	10.0	2	3	0	4	1	0.0	0.0	40.0	39	1
34.0	4	127651.0	12	14.0	2	4	0	4	1	0.0	0.0	55.0	39	0
56.0	4	444089.0	1	7.0	0	12	1	4	0	0.0	0.0	40.0	39	1
52.0	4	92968.0	9	13.0	5	4	4	4	0	0.0	0.0	40.0	0	1
28.0	4	410450.0	9	13.0	0	8	4	4	0	0.0	0.0	48.0	9	0
18.0	4	180725.0	1	7.0	4	8	3	4	1	0.0	0.0	16.0	39	1
52.0	4	178983.0	10	16.0	2	10	0	4	1	0.0	0.0	40.0	0	0
28.0	4	196621.0	11	9.0	3	13	1	4	0	0.0	0.0	37.0	39	1
64.0	4	237581.0	5	4.0	2	14	0	4	1	0.0	0.0	48.0	26	0
